23.000004 1254361 37965  228483  0.199469 74 4451.779785
24.000004 1292250 44315  267185  0.241872 74 4461.390137
25.000004 1340430 52527  316046  0.296049 74 4471.439941
26.000004 1391780 61341  368056  0.351313 74 4481.850098
27.000004 1442156 70106  419070  0.402358 74 4492.740234
28.000004 1492336 78859  469931  0.450597 74 4504.149902
29.000004 1545369 88220  523676  0.498827 74 4516.020020
30.000004 1600555 98154  579723  0.546457 74 4528.490234
31.000004 1658186 108829  638048  0.593210 74 4541.729980
32.000005 1716292 119871  696908  0.637639 74 4555.620117
33.000005 1772604 130681  753787  0.678465 74 4570.140137
34.000005 1824882 141178  806177  0.714584 74 4585.279785
35.000005 1874379 151443  855816  0.747594 74 4601.029785
36.000005 1921017 161161  902400  0.777620 74 4617.310059
37.000005 1964986 170800  946339  0.805523 74 4634.100098
38.000005 2006003 180054  987284  0.831808 74 4651.319824
39.000005 2043663 188543  1024907  0.857148 74 4668.959961
40.000005 2080075 196797  1061361  0.883334 74 4687.029785
41.000005 2117702 205131  1098897  0.911905 74 4705.479980
42.000005 2156443 213697  1137641  0.942425 74 4724.439941
43.000005 2194098 221949  1175263  0.971778 74 4743.750000
44.000005 2226621 229070  1207686  0.996305 74 4763.470215
45.000005 2251450 234723  1232515  1.014500 74 4783.500000
46.000005 2272600 239608  1253666  1.029500 74 4803.799805
47.000005 2292018 244125  1273082  1.043250 74 4823.979980
48.000005 2310438 248243  1291503  1.056522 74 4844.359863
49.000005 2327600 252086  1308657  1.069203 74 4864.950195
50.000005 2344120 255867  1325177  1.081312 74 4885.770020
51.000006 2358738 259160  1339798  1.091981 74 4906.810059
52.000006 2371901 262144  1352961  1.101505 74 4928.100098
53.000006 2383684 264741  1364743  1.109943 74 4949.549805
54.000006 2393681 266965  1374663  1.117081 74 4971.120117
55.000006 2402178 268915  1383154  1.123394 74 4992.799805
56.000006 2409864 270607  1390780  1.129066 74 5014.600098
57.000006 2416399 272036  1397298  1.134024 74 5036.459961
58.000006 2421240 273115  1402140  1.137741 74 5058.319824
59.000006 2424682 273875  1405585  1.140361 74 5080.209961
60.000006 2426913 274374  1407816  1.142101 74 5102.140137
61.000006 2427671 274540  1408570  1.142689 74 5124.100098
62.000006 2428442 274667  1409273  1.143132 74 5146.089844
63.000006 2428975 274786  1409806  1.143495 74 5168.069824
64.000006 2429217 274825  1409943  1.143534 74 5190.029785
65.000006 2429617 274892  1410347  1.143742 74 5211.720215
66.000007 2429837 274932  1410509  1.143829 74 5233.220215
67.000007 2429981 274963  1410653  1.143941 74 5254.649902
68.000007 2430262 275026  1410934  1.144117 74 5276.149902
69.000007 2430352 275050  1411024  1.144190 74 5297.509766
70.000007 2430395 275062  1411067  1.144205 74 5318.990234
71.000007 2430396 275062  1411068  1.144206 74 5340.580078
72.000000 2430400 275064  1411072  1.144208 74 5362.209961
1.000003 70329 126  7  0.000100 74 5371.759766
2.000003 191438 349  15  0.000078 74 5372.580078
3.000004 353572 793  31  0.000088 74 5374.370117
4.000004 519975 1519  54  0.000104 74 5377.379883
5.000004 670721 2630  88  0.000131 74 5381.649902
6.000005 789256 4111  148  0.000188 74 5386.930176
7.000005 868553 5735  216  0.000249 74 5392.959961
8.000005 929703 7610  287  0.000309 74 5399.490234
9.000005 957707 8746  344  0.000359 74 5406.339844
10.000005 976732 9730  439  0.000449 74 5413.390137
11.000005 989776 10759  672  0.000679 74 5420.560059
12.000005 999482 11671  1298  0.001299 74 5427.810059
13.000005 1007963 12614  3500  0.003473 74 5435.129883
14.000006 1019337 13680  9967  0.009786 74 5442.540039
15.000006 1039571 15223  26191  0.025234 74 5450.049805
16.000006 1072165 17334  54415  0.050902 74 5457.740234
17.000006 1112673 20058  90468  0.081650 74 5465.720215
18.000007 1154262 23570  129906  0.113183 74 5474.080078
19.000007 1198651 28244  173394  0.145728 74 5482.770020
20.000007 1247629 34370  221825  0.179367 74 5491.859863
21.000007 1299405 41590  273860  0.212950 74 5501.450195
22.000007 1354764 49602  329560  0.246171 74 5511.339844
23.000007 1413505 58613  388839  0.278910 74 5521.890137
24.000007 1474890 68284  450606  0.310334 74 5533.040039
25.000007 1537462 78526  513633  0.340015 74 5544.640137
26.000007 1598126 88668  574776  0.366822 74 5556.740234
27.000007 1657582 98920  634621  0.391253 74 5569.569824
28.000008 1716720 109457  694431  0.414272 74 5583.180176
29.000008 1773726 119964  751979  0.435351 74 5597.459961
30.000008 1824498 129991  802914  0.453349 74 5612.279785
31.000008 1868321 139328  846767  0.468931 74 5627.549805
32.000008 1908073 148215  886550  0.484130 74 5643.299805
33.000008 1947185 157057  925657  0.501083 74 5659.319824
34.000008 1988893 166576  967174  0.521983 74 5675.560059
35.000008 2033913 176456  1011773  0.546098 74 5692.419922
36.000008 2077685 186195  1055330  0.570988 74 5709.799805
37.000008 2119945 195645  1097505  0.596120 74 5727.640137
38.000008 2160783 204702  1138346  0.622181 74 5745.979980
39.000008 2199199 213198  1176743  0.647601 74 5764.720215
40.000008 2232440 220647  1209916  0.668685 74 5783.870117
41.000008 2260010 226821  1237452  0.685161 74 5803.330078
42.000008 2283398 232083  1260890  0.699112 74 5823.080078
43.000009 2305668 237102  1283237  0.712551 74 5843.129883
44.000009 2326560 241798  1304129  0.725256 74 5863.390137
45.000009 2345966 246175  1323535  0.737107 74 5883.899902
46.000009 2363331 250083  1340902  0.747798 74 5904.629883
47.000009 2377821 253371  1355392  0.757066 74 5925.560059
48.000009 2390919 256340  1368490  0.765293 74 5946.620117
49.000009 2401334 258730  1378886  0.771898 74 5967.819824
50.000009 2409847 260589  1387399  0.777404 74 5989.140137
51.000009 2416399 262066  1393951  0.781875 74 6010.520020
52.000009 2421594 263255  1399146  0.785583 74 6031.970215
53.000009 2425513 264103  1403065  0.788318 74 6053.490234
54.000009 2427875 264608  1405427  0.790057 74 6075.000000
55.000010 2428639 264777  1406191  0.790607 74 6096.500000
56.000010 2429223 264919  1406776  0.790953 74 6118.029785
57.000010 2429415 264950  1406968  0.791077 74 6139.540039
58.000010 2429840 265040  1407393  0.791282 74 6161.060059
59.000010 2429973 265068  1407526  0.791365 74 6182.560059
60.000010 2430080 265091  1407633  0.791416 74 6204.069824
61.000010 2430215 265119  1407768  0.791473 74 6225.589844
62.000010 2430367 265143  1407922  0.791534 74 6247.120117
63.000010 2430505 265177  1408060  0.791646 74 6268.629883
64.000010 2430726 265220  1408281  0.791765 74 6290.149902
65.000010 2430893 265252  1408448  0.791864 74 6311.669922
66.000010 2430893 265252  1408448  0.791864 74 6333.189941
67.000010 2431006 265285  1408562  0.791926 74 6354.720215
68.000010 2431060 265298  1408616  0.791932 74 6376.229980
69.000010 2431338 265358  1408894  0.792011 74 6397.750000
70.000010 2431439 265376  1408999  0.792058 74 6419.279785
71.000010 2431446 265376  1409006  0.792063 74 6440.810059
72.000000 2431624 265420  1409188  0.792163 74 6462.350098
1.000004 66067 117  2  0.000030 74 6469.359863
2.000006 190995 379  7  0.000037 74 6470.169922
3.000006 346267 806  19  0.000055 74 6471.959961
4.000006 503758 1438  37  0.000073 74 6474.879883
5.000007 649241 2388  69  0.000106 74 6478.990234
6.000007 767476 3724  119  0.000155 74 6484.100098
7.000007 852897 5212  169  0.000198 74 6490.000000
8.000007 917931 7089  252  0.000275 74 6496.459961
9.000007 952964 8321  346  0.000363 74 6503.279785
10.000007 972909 9237  591  0.000607 74 6510.299805
11.000007 988015 10232  1471  0.001489 74 6517.459961
12.000007 1000514 11259  4342  0.004342 74 6524.740234
13.000007 1016684 12547  13051  0.012855 74 6532.140137
14.000007 1041741 14269  32162  0.030945 74 6539.660156
15.000008 1076180 16450  61483  0.057323 74 6547.459961
16.000008 1114029 19095  93891  0.084649 74 6555.490234
17.000008 1151700 22203  127490  0.111340 74 6563.890137
18.000008 1190966 26120  165671  0.140149 74 6572.640137
19.000008 1236082 31605  210271  0.171728 74 6581.680176
20.000009 1286607 38673  260638  0.204854 74 6590.930176
21.000009 1340405 46634  314551  0.237652 74 6600.790039
22.000009 1396188 55436  370546  0.269140 74 6611.060059
23.000009 1452970 64568  427836  0.299007 74 6621.770020
24.000009 1509024 73999  484381  0.326525 74 6633.080078
25.000009 1563788 83473  539427  0.351624 74 6645.129883
26.000009 1616066 92799  592135  0.374508 74 6657.770020
27.000009 1666291 102073  642796  0.395850 74 6670.919922
28.000010 1714947 111459  692073  0.416376 74 6684.560059
29.000010 1760343 120434  738028  0.435866 74 6698.689941
30.000010 1801132 129303  779039  0.454544 74 6713.120117
31.000010 1840110 137865  817903  0.474463 74 6727.819824
32.000010 1878840 146537  856471  0.496678 74 6742.959961
33.000010 1920049 155625  897506  0.521708 74 6758.410156
34.000010 1962012 164594  939229  0.547467 74 6774.459961
35.000010 2003196 173692  980315  0.572657 74 6790.859863
36.000010 2041549 182338  1018652  0.595942 74 6807.399902
37.000010 2078773 190617  1055877  0.618397 74 6824.470215
38.000010 2115220 199013  1092331  0.639846 74 6841.910156
39.000010 2149951 207177  1126969  0.660070 74 6859.759766
40.000010 2183088 215047  1160054  0.679242 74 6877.870117
41.000010 2213125 222222  1190091  0.696605 74 6896.620117
42.000010 2241098 228902  1218053  0.712233 74 6915.600098
43.000010 2265925 234995  1242880  0.725984 74 6934.890137
44.000010 2287488 240099  1264447  0.737672 74 6954.069824
45.000010 2306684 244597  1283555  0.747855 74 6973.399902
46.000010 2323150 248534  1300021  0.756787 74 6992.959961
47.000010 2338726 252156  1315597  0.765174 74 7012.729980
48.000011 2353004 255548  1329875  0.772779 74 7032.870117
49.000011 2365108 258518  1341979  0.779243 74 7052.930176
50.000011 2375340 260951  1352211  0.784677 74 7073.430176
51.000011 2383989 263063  1360860  0.789219 74 7094.109863
52.000011 2390812 264782  1367683  0.792782 74 7114.680176
53.000011 2396924 266295  1373795  0.795955 74 7135.339844
54.000011 2402262 267598  1379128  0.798715 74 7156.200195
55.000011 2407229 268894  1384055  0.801236 74 7177.120117
56.000011 2411251 269964  1388035  0.803260 74 7198.049805
57.000011 2414463 270786  1391247  0.804876 74 7219.069824
58.000011 2416832 271464  1393563  0.806017 74 7240.120117
59.000011 2419130 272085  1395857  0.807184 74 7261.759766
60.000011 2421168 272622  1397895  0.808219 74 7283.459961
61.000011 2422863 273065  1399590  0.809073 74 7305.140137
62.000011 2424672 273529  1401399  0.809966 74 7326.810059
63.000011 2426204 273950  1402931  0.810752 74 7348.569824
64.000011 2427672 274360  1404281  0.811369 74 7370.250000
65.000012 2428602 274624  1405211  0.811835 74 7391.970215
66.000012 2429029 274738  1405638  0.812044 74 7413.759766
67.000012 2429409 274832  1405970  0.812198 74 7435.529785
